site_id,sector_id,cell_id,site_x,site_y,site_z,x,y,altitude_m,azimuth_deg,net_type,frequency_ghz,tx_power_dbm,city
100,0,1000,0.0,0.0,10.0,0.0,0.0,10.0,0.0,5G NR,3.5,43.0,HexCity
100,1,1001,0.0,0.0,10.0,0.0,0.0,10.0,120.0,5G NR,3.5,43.0,HexCity
100,2,1002,0.0,0.0,10.0,0.0,0.0,10.0,240.0,5G NR,3.5,43.0,HexCity
101,0,1003,-433.0126953125,250.0,10.0,-433.0126953125,250.0,10.0,0.0,LTE,2.1,46.0,HexCity
101,1,1004,-433.0126953125,250.0,10.0,-433.0126953125,250.0,10.0,120.0,LTE,2.1,46.0,HexCity
101,2,1005,-433.0126953125,250.0,10.0,-433.0126953125,250.0,10.0,240.0,LTE,2.1,46.0,HexCity
102,0,1006,0.0,500.0,10.0,0.0,500.0,10.0,0.0,5G NR,3.5,43.0,HexCity
102,1,1007,0.0,500.0,10.0,0.0,500.0,10.0,120.0,5G NR,3.5,43.0,HexCity
102,2,1008,0.0,500.0,10.0,0.0,500.0,10.0,240.0,5G NR,3.5,43.0,HexCity
103,0,1009,433.0126953125,250.0,10.0,433.0126953125,250.0,10.0,0.0,LTE,2.1,46.0,HexCity
103,1,1010,433.0126953125,250.0,10.0,433.0126953125,250.0,10.0,120.0,LTE,2.1,46.0,HexCity
103,2,1011,433.0126953125,250.0,10.0,433.0126953125,250.0,10.0,240.0,LTE,2.1,46.0,HexCity
104,0,1012,433.0126953125,-250.0,10.0,433.0126953125,-250.0,10.0,0.0,5G NR,3.5,43.0,HexCity
104,1,1013,433.0126953125,-250.0,10.0,433.0126953125,-250.0,10.0,120.0,5G NR,3.5,43.0,HexCity
104,2,1014,433.0126953125,-250.0,10.0,433.0126953125,-250.0,10.0,240.0,5G NR,3.5,43.0,HexCity
105,0,1015,0.0,-500.0,10.0,0.0,-500.0,10.0,0.0,LTE,2.1,46.0,HexCity
105,1,1016,0.0,-500.0,10.0,0.0,-500.0,10.0,120.0,LTE,2.1,46.0,HexCity
105,2,1017,0.0,-500.0,10.0,0.0,-500.0,10.0,240.0,LTE,2.1,46.0,HexCity
106,0,1018,-433.0126953125,-250.0,10.0,-433.0126953125,-250.0,10.0,0.0,5G NR,3.5,43.0,HexCity
106,1,1019,-433.0126953125,-250.0,10.0,-433.0126953125,-250.0,10.0,120.0,5G NR,3.5,43.0,HexCity
106,2,1020,-433.0126953125,-250.0,10.0,-433.0126953125,-250.0,10.0,240.0,5G NR,3.5,43.0,HexCity
107,0,1021,-866.025390625,500.0,10.0,-866.025390625,500.0,10.0,0.0,LTE,2.1,46.0,HexCity
107,1,1022,-866.025390625,500.0,10.0,-866.025390625,500.0,10.0,120.0,LTE,2.1,46.0,HexCity
107,2,1023,-866.025390625,500.0,10.0,-866.025390625,500.0,10.0,240.0,LTE,2.1,46.0,HexCity
108,0,1024,-433.0126953125,750.0,10.0,-433.0126953125,750.0,10.0,0.0,5G NR,3.5,43.0,HexCity
108,1,1025,-433.0126953125,750.0,10.0,-433.0126953125,750.0,10.0,120.0,5G NR,3.5,43.0,HexCity
108,2,1026,-433.0126953125,750.0,10.0,-433.0126953125,750.0,10.0,240.0,5G NR,3.5,43.0,HexCity
109,0,1027,0.0,1000.0,10.0,0.0,1000.0,10.0,0.0,LTE,2.1,46.0,HexCity
109,1,1028,0.0,1000.0,10.0,0.0,1000.0,10.0,120.0,LTE,2.1,46.0,HexCity
109,2,1029,0.0,1000.0,10.0,0.0,1000.0,10.0,240.0,LTE,2.1,46.0,HexCity
110,0,1030,433.0126953125,750.0,10.0,433.0126953125,750.0,10.0,0.0,5G NR,3.5,43.0,HexCity
110,1,1031,433.0126953125,750.0,10.0,433.0126953125,750.0,10.0,120.0,5G NR,3.5,43.0,HexCity
110,2,1032,433.0126953125,750.0,10.0,433.0126953125,750.0,10.0,240.0,5G NR,3.5,43.0,HexCity
111,0,1033,866.025390625,500.0,10.0,866.025390625,500.0,10.0,0.0,LTE,2.1,46.0,HexCity
111,1,1034,866.025390625,500.0,10.0,866.025390625,500.0,10.0,120.0,LTE,2.1,46.0,HexCity
