unique_cell_id,lat,lon,radio,city,cluster_id,is_5g,frequency_ghz,cell_type
GRID_0,33.55498198198198,-7.610625550694163,5G NSA,Casablanca,0,1,3.5,micro
GRID_1,33.55498198198198,-7.6098686564198665,LTE,Casablanca,0,0,1.8,macro
GRID_2,33.55498198198198,-7.609111762145571,5G NSA,Casablanca,0,1,3.5,micro
GRID_3,33.55498198198198,-7.608354867871276,LTE,Casablanca,0,0,1.8,macro
GRID_4,33.55498198198198,-7.60759797359698,5G NSA,Casablanca,0,1,3.5,micro
GRID_5,33.55498198198198,-7.606841079322685,LTE,Casablanca,0,0,1.8,macro
GRID_6,33.55498198198198,-7.606084185048388,5G NSA,Casablanca,0,1,3.5,micro
GRID_7,33.55498198198198,-7.605327290774093,LTE,Casablanca,0,0,1.8,macro
GRID_8,33.55498198198198,-7.604570396499797,5G NSA,Casablanca,0,1,3.5,micro
GRID_9,33.55498198198198,-7.603813502225502,LTE,Casablanca,0,0,1.8,macro
GRID_10,33.55498198198198,-7.603056607951205,5G NSA,Casablanca,0,1,3.5,micro
GRID_11,33.55498198198198,-7.60229971367691,LTE,Casablanca,0,0,1.8,macro
GRID_12,33.55498198198198,-7.6015428194026144,5G NSA,Casablanca,0,1,3.5,micro
GRID_13,33.55498198198198,-7.600785925128319,LTE,Casablanca,0,0,1.8,macro
GRID_14,33.55498198198198,-7.6000290308540235,5G NSA,Casablanca,0,1,3.5,micro
GRID_15,33.55498198198198,-7.599272136579727,LTE,Casablanca,0,0,1.8,macro
GRID_16,33.55498198198198,-7.598515242305432,5G NSA,Casablanca,0,1,3.5,micro
GRID_17,33.55498198198198,-7.597758348031136,LTE,Casablanca,0,0,1.8,macro
GRID_18,33.55498198198198,-7.597001453756841,5G NSA,Casablanca,0,1,3.5,micro
GRID_19,33.55498198198198,-7.596244559482544,LTE,Casablanca,0,0,1.8,macro
GRID_20,33.55498198198198,-7.595487665208249,5G NSA,Casablanca,0,1,3.5,micro
GRID_21,33.55498198198198,-7.594730770933953,LTE,Casablanca,0,0,1.8,macro
GRID_22,33.55498198198198,-7.593973876659658,5G NSA,Casablanca,0,1,3.5,micro
GRID_23,33.55498198198198,-7.593216982385362,LTE,Casablanca,0,0,1.8,macro
GRID_24,33.55498198198198,-7.592460088111066,5G NSA,Casablanca,0,1,3.5,micro
GRID_25,33.55498198198198,-7.5917031938367705,LTE,Casablanca,0,0,1.8,macro
GRID_26,33.55498198198198,-7.590946299562475,5G NSA,Casablanca,0,1,3.5,micro
GRID_27,33.55498198198198,-7.5901894052881795,LTE,Casablanca,0,0,1.8,macro
GRID_28,33.55498198198198,-7.589432511013884,5G NSA,Casablanca,0,1,3.5,micro
GRID_29,33.55498198198198,-7.588675616739588,LTE,Casablanca,0,0,1.8,macro
GRID_30,33.55498198198198,-7.587918722465292,5G NSA,Casablanca,0,1,3.5,micro
GRID_31,33.55498198198198,-7.587161828190997,LTE,Casablanca,0,0,1.8,macro
GRID_32,33.55498198198198,-7.586404933916701,5G NSA,Casablanca,0,1,3.5,micro
GRID_33,33.55498198198198,-7.585648039642405,LTE,Casablanca,0,0,1.8,macro
GRID_34,33.55498198198198,-7.584891145368109,5G NSA,Casablanca,0,1,3.5,micro
GRID_35,33.55498198198198,-7.584134251093814,LTE,Casablanca,0,0,1.8,macro
GRID_36,33.55498198198198,-7.583377356819518,5G NSA,Casablanca,0,1,3.5,micro
GRID_37,33.55498198198198,-7.582620462545223,LTE,Casablanca,0,0,1.8,macro
GRID_38,33.55498198198198,-7.581863568270927,5G NSA,Casablanca,0,1,3.5,micro
GRID_39,33.55498198198198,-7.581106673996631,LTE,Casablanca,0,0,1.8,macro
GRID_40,33.55498198198198,-7.580349779722336,5G NSA,Casablanca,0,1,3.5,micro
GRID_41,33.55498198198198,-7.57959288544804,LTE,Casablanca,0,0,1.8,macro
GRID_42,33.55498198198198,-7.578835991173745,5G NSA,Casablanca,0,1,3.5,micro
GRID_43,33.55498198198198,-7.578079096899448,LTE,Casablanca,0,0,1.8,macro
GRID_44,33.55498198198198,-7.577322202625153,5G NSA,Casablanca,0,1,3.5,micro
GRID_45,33.55498198198198,-7.576565308350857,LTE,Casablanca,0,0,1.8,macro
