column_name,column_type,null,key,default,extra
timestamp,TIMESTAMP,YES,,,
ue_id,VARCHAR,YES,,,
scenario_id,BIGINT,YES,,,
rsrp,DOUBLE,YES,,,
sinr,DOUBLE,YES,,,
rsrq,DOUBLE,YES,,,
cqi,BIGINT,YES,,,
position_x,DOUBLE,YES,,,
position_y,DOUBLE,YES,,,
altitude,DOUBLE,YES,,,
speed,DOUBLE,YES,,,
direction,DOUBLE,YES,,,
mobility_type,VARCHAR,YES,,,
serving_cell_id,BIGINT,YES,,,
serving_cell_type,VARCHAR,YES,,,
serving_net_type,VARCHAR,YES,,,
target_cell_id,BIGINT,YES,,,
target_cell_type,VARCHAR,YES,,,
handover_class,BIGINT,YES,,,
handover_label,VARCHAR,YES,,,
handover_success,BIGINT,YES,,,
ping_pong_flag,BIGINT,YES,,,
handover_delay,DOUBLE,YES,,,
optimal_cell_id,BIGINT,YES,,,
optimal_cell_type,VARCHAR,YES,,,
optimal_cell_idx_in_k,BIGINT,YES,,,
optimal_cell_score,DOUBLE,YES,,,
optimal_cell_rsrp,DOUBLE,YES,,,
optimal_cell_sinr,DOUBLE,YES,,,
optimal_cell_load,DOUBLE,YES,,,
optimal_cell_tp_est,DOUBLE,YES,,,
optimal_is_current,BIGINT,YES,,,
nb_cell_ids,VARCHAR,YES,,,
nb_cell_types,VARCHAR,YES,,,
nb_net_types,VARCHAR,YES,,,
nb_rsrps,VARCHAR,YES,,,
nb_sinrs,VARCHAR,YES,,,
nb_loads,VARCHAR,YES,,,
nb_tp_ests,VARCHAR,YES,,,
nb_dists_m,VARCHAR,YES,,,
nb_path_losses_db,VARCHAR,YES,,,
nb_scores,VARCHAR,YES,,,
num_visible_cells,BIGINT,YES,,,
num_neighbor_cells,BIGINT,YES,,,
cell_load,DOUBLE,YES,,,
interference_level,DOUBLE,YES,,,
scan_radius_m,DOUBLE,YES,,,
cell_visibility_mask,BIGINT,YES,,,
latency,DOUBLE,YES,,,
throughput,DOUBLE,YES,,,
packet_loss,DOUBLE,YES,,,
jitter,DOUBLE,YES,,,
hysteresis,DOUBLE,YES,,,
time_to_trigger,BIGINT,YES,,,
measurement_interval,DOUBLE,YES,,,
zone_density,VARCHAR,YES,,,
rlf_flag,BIGINT,YES,,,
drone_strategy,VARCHAR,YES,,,
nearest_drone_lat,DOUBLE,YES,,,
nearest_drone_lon,DOUBLE,YES,,,
nearest_drone_alt,DOUBLE,YES,,,
nearest_drone_speed_ms,DOUBLE,YES,,,
